type,msg_len,enc_elapsed_time_sd,dec_elapsed_time_sd,all_len,iv_len,ciphertext_len,tag_len,sig_len,c2_len,e_len
ecies_signature,52428800,0.248558,0.241853,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.165617,0.172466,52428881,0,52428800,16,0,0,65
imessage,52428800,0.331921,0.333015,52429014,16,52428800,0,70,128,0
hybrid_signcryption,52428800,0.143753,0.150573,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.247906,0.241790,52428953,16,52428800,0,72,0,65
hpke_auth,52428800,0.165843,0.172657,52428881,0,52428800,16,0,0,65
imessage,52428800,0.336529,0.333928,52429014,16,52428800,0,70,128,0
hybrid_signcryption,52428800,0.143377,0.152242,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.248063,0.241130,52428953,16,52428800,0,72,0,65
hpke_auth,52428800,0.171309,0.171577,52428881,0,52428800,16,0,0,65
imessage,52428800,0.332522,0.333234,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.148926,0.150941,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.245097,0.241407,52428953,16,52428800,0,72,0,65
hpke_auth,52428800,0.168227,0.172475,52428881,0,52428800,16,0,0,65
imessage,52428800,0.334134,0.331623,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.145620,0.150787,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.248153,0.243806,52428951,16,52428800,0,70,0,65
hpke_auth,52428800,0.164927,0.170885,52428881,0,52428800,16,0,0,65
imessage,52428800,0.333980,0.332458,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.144298,0.150265,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.250651,0.244236,52428951,16,52428800,0,70,0,65
hpke_auth,52428800,0.171551,0.173480,52428881,0,52428800,16,0,0,65
imessage,52428800,0.332867,0.334312,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.148866,0.151186,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.247433,0.239132,52428953,16,52428800,0,72,0,65
hpke_auth,52428800,0.166595,0.172057,52428881,0,52428800,16,0,0,65
imessage,52428800,0.331083,0.330715,52429016,16,52428800,0,72,128,0
hybrid_signcryption,52428800,0.143277,0.151162,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.249194,0.243610,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.167025,0.173732,52428881,0,52428800,16,0,0,65
imessage,52428800,0.335741,0.335725,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.145029,0.152146,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.250742,0.239879,52428951,16,52428800,0,70,0,65
hpke_auth,52428800,0.167540,0.170975,52428881,0,52428800,16,0,0,65
imessage,52428800,0.334510,0.331316,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.144552,0.149872,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.246812,0.239473,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.168359,0.172073,52428881,0,52428800,16,0,0,65
imessage,52428800,0.331843,0.332095,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.146815,0.150744,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.245507,0.241753,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.167497,0.173337,52428881,0,52428800,16,0,0,65
imessage,52428800,0.336003,0.336299,52429014,16,52428800,0,70,128,0
hybrid_signcryption,52428800,0.145248,0.152251,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.250262,0.243387,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.167999,0.171705,52428881,0,52428800,16,0,0,65
imessage,52428800,0.332327,0.332343,52429016,16,52428800,0,72,128,0
hybrid_signcryption,52428800,0.145758,0.150819,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.246338,0.240269,52428953,16,52428800,0,72,0,65
hpke_auth,52428800,0.165655,0.171373,52428881,0,52428800,16,0,0,65
imessage,52428800,0.333462,0.332740,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.143208,0.150547,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.245669,0.243863,52428953,16,52428800,0,72,0,65
hpke_auth,52428800,0.172506,0.172153,52428881,0,52428800,16,0,0,65
imessage,52428800,0.335137,0.333862,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.149364,0.150783,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.250428,0.240910,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.165564,0.171854,52428881,0,52428800,16,0,0,65
imessage,52428800,0.332507,0.334134,52429016,16,52428800,0,72,128,0
hybrid_signcryption,52428800,0.143398,0.150418,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.249874,0.243651,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.166848,0.173194,52428881,0,52428800,16,0,0,65
imessage,52428800,0.335248,0.334956,52429016,16,52428800,0,72,128,0
hybrid_signcryption,52428800,0.143933,0.151823,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.244621,0.241870,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.168850,0.171986,52428881,0,52428800,16,0,0,65
imessage,52428800,0.332699,0.332751,52429016,16,52428800,0,72,128,0
hybrid_signcryption,52428800,0.146028,0.150724,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.249748,0.244270,52428953,16,52428800,0,72,0,65
hpke_auth,52428800,0.165314,0.172431,52428881,0,52428800,16,0,0,65
imessage,52428800,0.335424,0.335759,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.142933,0.151583,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.245756,0.244741,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.170893,0.172098,52428881,0,52428800,16,0,0,65
imessage,52428800,0.333229,0.332183,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.143728,0.150504,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.245689,0.242650,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.166429,0.174945,52428881,0,52428800,16,0,0,65
imessage,52428800,0.337826,0.338608,52429016,16,52428800,0,72,128,0
hybrid_signcryption,52428800,0.143557,0.153325,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.250928,0.239892,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.167226,0.172990,52428881,0,52428800,16,0,0,65
imessage,52428800,0.335480,0.333416,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.144630,0.151505,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.244524,0.238974,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.171397,0.172688,52428881,0,52428800,16,0,0,65
