type,msg_len,enc_elapsed_time_sd,dec_elapsed_time_sd,all_len,iv_len,ciphertext_len,tag_len,sig_len,c2_len,e_len
hybrid_signcryption,102400,0.005203,0.005252,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015832,0.010783,102553,16,102400,0,72,0,65
hpke_auth,102400,0.026710,0.026013,102481,0,102400,16,0,0,65
imessage,102400,0.014299,0.012492,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005203,0.005257,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015868,0.010712,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026854,0.026179,102481,0,102400,16,0,0,65
imessage,102400,0.014250,0.012428,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005194,0.005298,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015756,0.010993,102553,16,102400,0,72,0,65
hpke_auth,102400,0.027352,0.026138,102481,0,102400,16,0,0,65
imessage,102400,0.014316,0.012244,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005064,0.005309,102463,16,102400,16,31,0,0
ecies_signature,102400,0.015776,0.010826,102551,16,102400,0,70,0,65
hpke_auth,102400,0.026972,0.025884,102481,0,102400,16,0,0,65
imessage,102400,0.014619,0.012183,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005316,0.005274,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015776,0.010809,102553,16,102400,0,72,0,65
hpke_auth,102400,0.027146,0.026191,102481,0,102400,16,0,0,65
imessage,102400,0.014376,0.012175,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005081,0.005376,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015907,0.011013,102551,16,102400,0,70,0,65
hpke_auth,102400,0.026894,0.026046,102481,0,102400,16,0,0,65
imessage,102400,0.014347,0.012315,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005111,0.005351,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015806,0.010851,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026791,0.025966,102481,0,102400,16,0,0,65
imessage,102400,0.014405,0.012120,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005230,0.005448,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015747,0.010905,102551,16,102400,0,70,0,65
hpke_auth,102400,0.027176,0.026210,102481,0,102400,16,0,0,65
imessage,102400,0.014617,0.012479,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005102,0.005392,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015880,0.010782,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026863,0.026341,102481,0,102400,16,0,0,65
imessage,102400,0.014394,0.012369,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005210,0.005312,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015880,0.010852,102551,16,102400,0,70,0,65
hpke_auth,102400,0.026932,0.026428,102481,0,102400,16,0,0,65
imessage,102400,0.014358,0.012263,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005152,0.005264,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015848,0.010806,102551,16,102400,0,70,0,65
hpke_auth,102400,0.026940,0.026175,102481,0,102400,16,0,0,65
imessage,102400,0.014402,0.012330,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005074,0.005386,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015862,0.010788,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026998,0.026126,102481,0,102400,16,0,0,65
imessage,102400,0.014536,0.012124,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005231,0.005339,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015833,0.010640,102553,16,102400,0,72,0,65
